State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
New York,Court of Appeals,Court of Last Resort,State funded,No,-99,http://www.courts.state.ny.us/ctapps/
New York,Appellate Division of Supreme Court,Intermediate Appellate Court,State funded,Yes,-99,http://www.courts.state.ny.us/courts/appellatedivisions.shtml
New York,Appellate Terms of Supreme Court,Intermediate Appellate Court,State funded,No,-99,http://www.courts.state.ny.us/courts/lowerappeals.shtml
New York,City,Limited Jurisdiction,State funded,No,Jury trials.,http://www.nycourts.gov/courts/cts-outside-nyc-CITY.shtml
New York,Civil Ct. of the City of NY,Limited Jurisdiction,State funded,No,Jury trials.,http://www.courts.state.ny.us/courts/nyc/civil/index.shtml
New York,County,General Jurisdiction,State funded,No,Jury trials.,http://www.courts.state.ny.us/litigants/courtguides/index.shtml
New York,Court of Claims,Limited Jurisdiction,State funded,No,No jury trials.,http://www.nycourts.gov/courts/nyscourtofclaims/
New York,Criminal Ct of the City of NY,Limited Jurisdiction,State funded,No,Jury trials for highest level misdemeanor.,http://www.courts.state.ny.us/courts/nyc/criminal/index.shtml
New York,District,Limited Jurisdiction,State funded,No,Jury trials except in traffic.,http://www.courts.state.ny.us/courts/cts-outside-nyc-DISTRICT.shtml
New York,Family,Limited Jurisdiction,State funded,No,No jury trials.,http://www.courts.state.ny.us/courts/cts-outside-nyc-FAMILY.shtml
New York,Supreme,General Jurisdiction,State funded,Yes,Jury trials.,http://www.courts.state.ny.us/courts/nyc/supreme/index.shtml
New York,Surrogate's,Limited Jurisdiction,State funded,No,Jury trials in probate/estate.,http://www.courts.state.ny.us/courts/cts-outside-nyc-SURROGATES.shtml
New York,Town & Village Justice,Limited Jurisdiction,State and local funding,No,Jury trials in most cases.,http://www.nycourts.gov/courts/townandvillage/
North Carolina,Supreme Court,Court of Last Resort,State funded,Yes,-99,http://www.nccourts.org/Courts/Appellate/Supreme/Default.asp
North Carolina,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.nccourts.org/Courts/Appellate/Appeal/Default.asp
North Carolina,District,Limited Jurisdiction,State and local funding,No,Jury trials in civil cases only.,http://www.nccourts.org/Courts/Trial/District/Default.asp
North Carolina,Superior,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.nccourts.org/Courts/Trial/Superior/Default.asp
North Dakota,Supreme Court,Court of Last Resort,State funded,No,Assigns cases to the Temporary Court of Appeals.,www.court.state.nd.us/Court/COURT.htm
North Dakota,Temporary Court of Appeals,Intermediate Appellate Court,State funded,No,"A temporary court of appeals was established July 1, 1987. The Supreme Court has the authority to call into existence the Court of Appeals for the purpose of exercising appellate and original jurisdiction as delegated by the Supreme Court. Since the Court of Appeals is not a permanent seated court it must be specifically authorized; such authorization for the Court f Appeals extends to January 1, 2020.",-99
North Dakota,District,General Jurisdiction,State funded,Yes,Jury trials in many cases.,http://www.ndcourts.gov/court/districts/districts.htm
North Dakota,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,http://www.ndcourts.gov/court/municipal.htm
Ohio,Supreme Court,Court of Last Resort,State funded,Yes,-99,http://www.sconet.state.oh.us/
Ohio,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.sconet.state.oh.us/JudSystem/districtCourts/
Ohio,County,Limited Jurisdiction,State and local funding,No,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/districtCourts/
Ohio,Court of Claims,Limited Jurisdiction,State funded,No,Jury trials in some cases.,https://ohiocourtofclaims.gov/
Ohio,Court of Common Pleas,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp
Ohio,Mayor's,Limited Jurisdiction,Locally funded,No,No jury trials.,http://www.ohiomayorscourtclerks.org/
Ohio,Municipal,Limited Jurisdiction,State and local funding,No,Jury trials in most cases.,http://www.sconet.state.oh.us/JudSystem/default.asp
Oklahoma,Court of Criminal Appeals,Court of Last Resort,State funded,No,-99,http://www.okcca.net/
Oklahoma,Supreme Court,Court of Last Resort,State funded,Yes,Assigns cases to the Court of Civil Appeals.,http://www.oscn.net/oscn/schome/start.htm
Oklahoma,Court of Civil Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.oscn.net/oscn/schome/civilappeals.htm
Oklahoma,District,General Jurisdiction,State funded,No,Jury trials.,http://www.oscn.net/applications/oscn/start.asp?viewType=COURTS
Oklahoma,Municipal Court Not of Record,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Oklahoma,Municipal Criminal Court of Record,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Oklahoma,Tax Review,Limited Jurisdiction,State funded,Yes,No jury trials.,-99
Oregon,Supreme Court,Court of Last Resort,State funded,Yes,-99,courts.oregon.gov/Supreme/pages/index.aspx
Oregon,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://www.courts.oregon.gov/courts/appellate/Pages/default.aspx
Oregon,Circuit,General Jurisdiction,State and local funding,No,Jury trials for most case types.,https://www.courts.oregon.gov/OJD/courts/circuit/index.page
Oregon,County,Limited Jurisdiction,Locally funded,No,No jury trials.,https://sos.oregon.gov/blue-book/Pages/state.aspx
Oregon,Justice,Limited Jurisdiction,Locally funded,No,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx
Oregon,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials for some case types.,https://sos.oregon.gov/blue-book/Pages/state.aspx
Oregon,Tax,General Jurisdiction,State funded,Yes,No jury trials.,https://www.courts.oregon.gov/Tax/pages/index.aspx
Pennsylvania,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.pacourts.us/courts/supreme-court/
Pennsylvania,Commonwealth Court,Intermediate Appellate Court,State funded,Yes,-99,http://www.pacourts.us/courts/commonwealth-court/
Pennsylvania,Superior Court,Intermediate Appellate Court,State funded,No,-99,www.pacourts.us/courts/superior-court/
Pennsylvania,Court of Common Pleas,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,http://www.pacourts.us/courts/courts-of-common-pleas/
Pennsylvania,Magisterial District Judge,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.pacourts.us/courts/minor-courts/magisterial-district-judges/
Pennsylvania,Philadelphia Municipal,Limited Jurisdiction,State and local funding,No,No jury trials.,http://courts.phila.gov/municipal/
Puerto Rico,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.ramajudicial.pr/sistema/supremo/index.htm
Puerto Rico,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.ramajudicial.pr/sistema/apelaciones.htm
Puerto Rico,Court of First Instance,General Jurisdiction,State funded,Yes,-99,http://www.ramajudicial.pr/sistema/instancia.htm
Rhode Island,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://www.courts.ri.gov/Courts/SupremeCourt/Pages/default.aspx
Rhode Island,District,Limited Jurisdiction,State funded,No,No jury trials.,https://www.courts.ri.gov/Courts/districtcourt/Pages/default.aspx
Rhode Island,Family,Limited Jurisdiction,State funded,No,Jury trials.,https://www.courts.ri.gov/Courts/FamilyCourt/Pages/default.aspx
Rhode Island,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Rhode Island,Probate,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
Rhode Island,Superior,General Jurisdiction,State funded,Yes,Jury trials.,https://www.courts.ri.gov/Courts/SuperiorCourt/Pages/default.aspx
Rhode Island,Traffic Tribunal,Limited Jurisdiction,State funded,No,No jury trials.,https://www.courts.ri.gov/Courts/rhodeislandtraffictribunal/Pages/default.aspx
Rhode Island,Worker's Compensation,Limited Jurisdiction,State funded,Yes,No jury trials.,https://www.courts.ri.gov/Courts/workerscompensationcourt/Pages/default.aspx
South Carolina,Supreme Court,Court of Last Resort,State funded,No,May transfer cases from the Court of Appeals.,-99
South Carolina,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,-99
South Carolina,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials except in appeals.,-99
South Carolina,Family,Limited Jurisdiction,State and local funding,No,No jury trials.,-99
