State,CourtName,CaseTypeDescription,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes
Colorado,County,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Colorado,County,Small Claims,False,False,False,False,True,False,0,7500,
Colorado,County,Misdemeanor,False,False,False,False,False,False,-98,-98,
Colorado,County,Felony,False,False,False,False,False,False,-98,-98,
Colorado,County,Preliminary Hearings,False,False,False,False,False,False,-98,-98,
Colorado,County,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Colorado,County,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Colorado,Denver Juvenile,Custody,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Juvenile,Support,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Juvenile,Adoption,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Juvenile,Status Offenses,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Juvenile,Juvenile,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Probate,Probate/Estate,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Probate,Guardianship,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Probate,Mental Health,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Probate,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,Denver Probate,Estate,False,False,False,False,False,False,-98,-98,In Denver.
Colorado,District,Tort,False,False,False,False,False,False,-98,-98,
Colorado,District,Contract,False,False,False,False,False,False,-98,-98,
Colorado,District,Employment,False,False,False,False,False,False,-98,-98,
Colorado,District,Real Property,False,False,False,False,False,False,-98,-98,
Colorado,District,Probate/Estate,False,False,False,False,False,False,-98,-98,
Colorado,District,Guardianship,False,False,False,False,False,False,-98,-98,
Colorado,District,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Colorado,District,Mental Health,False,False,False,False,False,False,-98,-98,
Colorado,District,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Colorado,District,Writ,False,False,False,False,False,False,-98,-98,
